drug_a_name,drug_b_name,cell,drug1_db,drug2_db,synergy
SORAFENIB,QUINACRINE HYDROCHLORIDE,HCT15,DB00398,DB01103,-10.14
IMATINIB,AMIFOSTINE,NCIH226,DB00619,DB01143,-2.59
NILOTINIB,QUINACRINE HYDROCHLORIDE,K562,DB04868,DB01103,-11.31
QUINACRINE HYDROCHLORIDE,TOPOTECAN,NCIH522,DB01103,DB01030,-14.09
AZACYTIDINE,BLEOMYCIN,KM12,DB00928,DB00290,-6.97
DOCETAXEL,LAPATINIB,DU145,DB01248,DB01259,9.25
MITOTANE,METHOXSALEN,SKOV3,DB00648,DB00553,5.68
DASATINIB,ZOLEDRONIC ACID,ACHN,DB01254,DB00399,-3.89
PACLITAXEL,AMIFOSTINE,OVCAR8,DB01229,DB01143,1.38
FLUDARABINE BASE,SORAFENIB,DU145,DB01073,DB00398,-0.41
PRALATREXATE,THALIDOMIDE,ACHN,DB06813,DB01041,4.44
TAMOXIFEN,IMATINIB,PC3,DB00675,DB00619,0.11
DASATINIB,PRALATREXATE,SNB19,DB01254,DB06813,-0.27
DOCETAXEL,PRALATREXATE,NCIH522,DB01248,DB06813,2.64
FLUDARABINE BASE,AZACYTIDINE,A498,DB01073,DB00928,-3.96
SUNITINIB,ARSENIC TRIOXIDE,IGROV1,DB01268,DB01169,-0.3
AZACYTIDINE,QUINACRINE HYDROCHLORIDE,NCIH460,DB00928,DB01103,-3
DOCETAXEL,CARMUSTINE,COLO205,DB01248,DB00262,-5.14
BLEOMYCIN,METHOTREXATE,HT29,DB00290,DB00563,3.21
DOCETAXEL,AZACYTIDINE,LOXIMVI,DB01248,DB00928,-5.14
AZACYTIDINE,BORTEZOMIB,MCF7,DB00928,DB00188,-6.08
SUNITINIB,SORAFENIB,U251MG,DB01268,DB00398,-1.93
RALOXIFENE,5-FU,T47D,DB00481,DB00544,-11.05
CARMUSTINE,BORTEZOMIB,DU145,DB00262,DB00188,-3.28
SUNITINIB,AMIFOSTINE,UACC62,DB01268,DB01143,1.51
BLEOMYCIN,IXABEPILONE,BT549,DB00290,DB04845,-3.62
THALIDOMIDE,IMIQUIMOD,KM12,DB01041,DB00724,15.59
NILOTINIB,TOPOTECAN,COLO205,DB04868,DB01030,-4.12
TAMOXIFEN,SUNITINIB,IGROV1,DB00675,DB01268,-0.86
SUNITINIB,IXABEPILONE,SW620,DB01268,DB04845,4.79
TAMOXIFEN,THALIDOMIDE,A498,DB00675,DB01041,-1.62
AZACYTIDINE,FULVESTRANT,NCIH522,DB00928,DB00947,-4.34
CELECOXIB,CYTARABINE,PC3,DB00482,DB00987,1.55
DOCETAXEL,TOPOTECAN,MALME3M,DB01248,DB01030,-6.75
PACLITAXEL,METHOTREXATE,PC3,DB01229,DB00563,5.15
RALOXIFENE,SUNITINIB,U251MG,DB00481,DB01268,0.61
CARMUSTINE,IXABEPILONE,MOLT4,DB00262,DB04845,-2.27
NILOTINIB,FULVESTRANT,COLO205,DB04868,DB00947,-5.77
LAPATINIB,ZOLEDRONIC ACID,LOXIMVI,DB01259,DB00399,3.69
DOCETAXEL,ERLOTINIB,NCIH522,DB01248,DB00530,6.23
IXABEPILONE,ERLOTINIB,SKMEL28,DB04845,DB00530,23.11
DAUNORUBICIN,METHOTREXATE,A498,DB00694,DB00563,-0.09
THALIDOMIDE,ARSENIC TRIOXIDE,NCIH460,DB01041,DB01169,2.15
RALOXIFENE,ANASTROZOLE,SW620,DB00481,DB01217,5.53
CELECOXIB,THALIDOMIDE,LOXIMVI,DB00482,DB01041,2.1
SORAFENIB,METHOXSALEN,PC3,DB00398,DB00553,-2.13
CELECOXIB,TRETINOIN,ACHN,DB00482,DB00755,-4.05
DASATINIB,CARMUSTINE,U251MG,DB01254,DB00262,-1.68
DOCETAXEL,LAPATINIB,SNB19,DB01248,DB01259,12.6
MITOTANE,NILOTINIB,SF295,DB00648,DB04868,8.79
MITOTANE,TOPOTECAN,SF295,DB00648,DB01030,2.13
IMATINIB,MITOTANE,KM12,DB00619,DB00648,-3.11
TRETINOIN,AMIFOSTINE,NCIH226,DB00755,DB01143,0.23
IXABEPILONE,ARSENIC TRIOXIDE,786O,DB04845,DB01169,-4.77
NILOTINIB,AZACYTIDINE,HT29,DB04868,DB00928,-2.85
BLEOMYCIN,QUINACRINE HYDROCHLORIDE,RPMI8226,DB00290,DB01103,-4.5
TRETINOIN,IMATINIB,SKOV3,DB00755,DB00619,2.84
SUNITINIB,FULVESTRANT,786O,DB01268,DB00947,1.99
RALOXIFENE,CYTARABINE,UACC257,DB00481,DB00987,-1.48
TRETINOIN,PACLITAXEL,OVCAR8,DB00755,DB01229,14.07
LOMUSTINE,DASATINIB,KM12,DB01206,DB01254,-7.39
CELECOXIB,CARMUSTINE,SKMEL5,DB00482,DB00262,-0.3
CYTARABINE,IMIQUIMOD,MCF7,DB00987,DB00724,-0.62
RALOXIFENE,IMATINIB,NCIH23,DB00481,DB00619,7.31
MITOXANTRONE,METHOTREXATE,SW620,DB01204,DB00563,-3.69
GEFITINIB,DASATINIB,NCIH522,DB00317,DB01254,-1.59
FLUDARABINE BASE,BORTEZOMIB,UACC257,DB01073,DB00188,0.05
BLEOMYCIN,ANASTROZOLE,NCIH460,DB00290,DB01217,-0.06
DACARBAZINE,DASATINIB,786O,DB00851,DB01254,1.97
RALOXIFENE,CELECOXIB,UACC257,DB00481,DB00482,2.62
LETROZOLE,ZOLEDRONIC ACID,KM12,DB01006,DB00399,-0.34
RALOXIFENE,IXABEPILONE,SKMEL5,DB00481,DB04845,4
TAMOXIFEN,SORAFENIB,SW620,DB00675,DB00398,1.24
DASATINIB,METHOTREXATE,SW620,DB01254,DB00563,0.9
DOCETAXEL,PRALATREXATE,DU145,DB01248,DB06813,0.76
IMIQUIMOD,ARSENIC TRIOXIDE,DU145,DB00724,DB01169,-4.67
ZOLEDRONIC ACID,TOPOTECAN,A498,DB00399,DB01030,-6.35
AMIFOSTINE,IXABEPILONE,NCIH522,DB01143,DB04845,2.86
NILOTINIB,SUNITINIB,LOXIMVI,DB04868,DB01268,3.24
AZACYTIDINE,SORAFENIB,786O,DB00928,DB00398,-5.49
SUNITINIB,PRALATREXATE,COLO205,DB01268,DB06813,-0.93
MITOTANE,CARMUSTINE,HCT15,DB00648,DB00262,0.1
MERCAPTOPURINE,CARMUSTINE,NCIH460,DB01033,DB00262,-10.39
NILOTINIB,SUNITINIB,786O,DB04868,DB01268,4.87
LAPATINIB,BLEOMYCIN,HCT116,DB01259,DB00290,7.03
TRETINOIN,MERCAPTOPURINE,KM12,DB00755,DB01033,-8.92
IXABEPILONE,ARSENIC TRIOXIDE,OVCAR8,DB04845,DB01169,-0.03
QUINACRINE HYDROCHLORIDE,BORTEZOMIB,K562,DB01103,DB00188,6.64
MITOTANE,NILOTINIB,MOLT4,DB00648,DB04868,2.62
FLUDARABINE BASE,DASATINIB,RPMI8226,DB01073,DB01254,4.21
PRALATREXATE,CARMUSTINE,OVCAR8,DB06813,DB00262,1.49
IMATINIB,QUINACRINE HYDROCHLORIDE,786O,DB00619,DB01103,-6.24
CARMUSTINE,AMIFOSTINE,MCF7,DB00262,DB01143,2.18
PRALATREXATE,IXABEPILONE,U251MG,DB06813,DB04845,2.3
LETROZOLE,SUNITINIB,RPMI8226,DB01006,DB01268,-6.71
CYTARABINE,MERCAPTOPURINE,SF295,DB00987,DB01033,-4.05
SUNITINIB,ERLOTINIB,OVCAR4,DB01268,DB00530,-1.75
IMATINIB,AMIFOSTINE,OVCAR4,DB00619,DB01143,-0.19
NILOTINIB,LAPATINIB,SKMEL5,DB04868,DB01259,-3.23
TRETINOIN,QUINACRINE HYDROCHLORIDE,K562,DB00755,DB01103,-5.32
PRALATREXATE,METHOXSALEN,UACC62,DB06813,DB00553,1.43
PACLITAXEL,ANASTROZOLE,A549,DB01229,DB01217,0.47
TRETINOIN,AZACYTIDINE,SW620,DB00755,DB00928,-5.41
MITOXANTRONE,BLEOMYCIN,K562,DB01204,DB00290,12
ZOLEDRONIC ACID,MERCAPTOPURINE,NCIH226,DB00399,DB01033,-4.35
TRETINOIN,IXABEPILONE,DU145,DB00755,DB04845,5.57
DOCETAXEL,LAPATINIB,HT29,DB01248,DB01259,21.37
IMATINIB,TOPOTECAN,PC3,DB00619,DB01030,-0.51
HYDROXYUREA,MERCAPTOPURINE,NCIH522,DB01005,DB01033,-1.24
AMIFOSTINE,IXABEPILONE,NCIH460,DB01143,DB04845,1.54
LETROZOLE,METHOXSALEN,DU145,DB01006,DB00553,1.27
PACLITAXEL,AMIFOSTINE,SW620,DB01229,DB01143,12.47
PACLITAXEL,ZOLEDRONIC ACID,BT549,DB01229,DB00399,2.4
CYTARABINE,TRETINOIN,786O,DB00987,DB00755,-9.62
CYTARABINE,TAMOXIFEN,MCF7,DB00987,DB00675,-6.69
DAUNORUBICIN,METHOTREXATE,NCIH460,DB00694,DB00563,-1.07
FLUDARABINE BASE,THALIDOMIDE,HCT15,DB01073,DB01041,-3.46
NILOTINIB,ZOLEDRONIC ACID,HT29,DB04868,DB00399,-1.33
LAPATINIB,HYDROXYUREA,OVCAR4,DB01259,DB01005,0.08
FULVESTRANT,ERLOTINIB,SF295,DB00947,DB00530,0.83
TAMOXIFEN,IXABEPILONE,ACHN,DB00675,DB04845,4.3
DOCETAXEL,METHOXSALEN,OVCAR4,DB01248,DB00553,-6.03
CELECOXIB,DASATINIB,PC3,DB00482,DB01254,-0.78
TOPOTECAN,IXABEPILONE,U251MG,DB01030,DB04845,-6.51
FULVESTRANT,ANASTROZOLE,OVCAR4,DB00947,DB01217,-1.26
LETROZOLE,TRETINOIN,COLO205,DB01006,DB00755,-1.68
MEGESTROL ACETATE,BLEOMYCIN,UACC257,DB00351,DB00290,4.67
CYTARABINE,ERLOTINIB,MOLT4,DB00987,DB00530,6.4
RALOXIFENE,DAUNORUBICIN,SW620,DB00481,DB00694,5.28
TAMOXIFEN,IXABEPILONE,IGROV1,DB00675,DB04845,2.4
DOCETAXEL,BORTEZOMIB,MALME3M,DB01248,DB00188,-1.74
LAPATINIB,ARSENIC TRIOXIDE,NCIH226,DB01259,DB01169,-2.72
DASATINIB,IXABEPILONE,NCIH226,DB01254,DB04845,-5.26
MITOTANE,ZOLEDRONIC ACID,MALME3M,DB00648,DB00399,-0.54
FLUDARABINE BASE,ANASTROZOLE,UACC62,DB01073,DB01217,-0.38
TOPOTECAN,IXABEPILONE,HCT116,DB01030,DB04845,-2.07
IMIQUIMOD,BORTEZOMIB,SW620,DB00724,DB00188,-2.04
LAPATINIB,BLEOMYCIN,MOLT4,DB01259,DB00290,6.19
DASATINIB,QUINACRINE HYDROCHLORIDE,HT29,DB01254,DB01103,2.66
SUNITINIB,BLEOMYCIN,OVCAR4,DB01268,DB00290,-3.17
MITOTANE,IMIQUIMOD,SKMEL5,DB00648,DB00724,-0.64
RALOXIFENE,PRALATREXATE,NCIH460,DB00481,DB06813,4.09
FLUDARABINE BASE,BORTEZOMIB,SKMEL28,DB01073,DB00188,-1.77
RALOXIFENE,TAMOXIFEN,A498,DB00481,DB00675,-3.69
THALIDOMIDE,BORTEZOMIB,SW620,DB01041,DB00188,-1.83
PACLITAXEL,AZACYTIDINE,U251MG,DB01229,DB00928,-7.69
DOCETAXEL,ARSENIC TRIOXIDE,SKMEL5,DB01248,DB01169,0.24
NILOTINIB,METHOXSALEN,RPMI8226,DB04868,DB00553,-6.1
FULVESTRANT,BORTEZOMIB,UACC257,DB00947,DB00188,0.88
SORAFENIB,QUINACRINE HYDROCHLORIDE,KM12,DB00398,DB01103,-10.13
TRETINOIN,MERCAPTOPURINE,SKMEL5,DB00755,DB01033,-5.6
LENALIDOMIDE,AMIFOSTINE,SKOV3,DB00480,DB01143,-1.67
LETROZOLE,DASATINIB,HCT15,DB01006,DB01254,7.16
LETROZOLE,CARMUSTINE,UACC257,DB01006,DB00262,-0.69
PEMETREXED,METHOTREXATE,MALME3M,DB00642,DB00563,-2.31
RALOXIFENE,BLEOMYCIN,SKMEL28,DB00481,DB00290,5.84
PRALATREXATE,CARMUSTINE,HCT15,DB06813,DB00262,3.98
NILOTINIB,ARSENIC TRIOXIDE,MCF7,DB04868,DB01169,2.75
SUNITINIB,QUINACRINE HYDROCHLORIDE,T47D,DB01268,DB01103,-7.36
LETROZOLE,NILOTINIB,NCIH522,DB01006,DB04868,5.35
ZOLEDRONIC ACID,MERCAPTOPURINE,SF295,DB00399,DB01033,4.45
TENIPOSIDE,DASATINIB,OVCAR8,DB00444,DB01254,-1.44
SORAFENIB,PRALATREXATE,A549,DB00398,DB06813,-0.81
DEXRAZOXANE,BLEOMYCIN,HCT116,DB00380,DB00290,-5.37
FLUDARABINE BASE,PRALATREXATE,COLO205,DB01073,DB06813,0.8
CYTARABINE,BLEOMYCIN,HCT116,DB00987,DB00290,-3.43
PRALATREXATE,BORTEZOMIB,SF295,DB06813,DB00188,1.7
ZOLEDRONIC ACID,IXABEPILONE,HCT15,DB00399,DB04845,1.57
CELECOXIB,IMIQUIMOD,HCT15,DB00482,DB00724,-0.06
PEMETREXED,AMIFOSTINE,COLO205,DB00642,DB01143,-1.83
SUNITINIB,METHOXSALEN,IGROV1,DB01268,DB00553,8.51
NILOTINIB,METHOXSALEN,T47D,DB04868,DB00553,1.67
DOCETAXEL,IMIQUIMOD,HT29,DB01248,DB00724,-2.35
DASATINIB,IXABEPILONE,SNB19,DB01254,DB04845,2.15
AZACYTIDINE,ANASTROZOLE,DU145,DB00928,DB01217,-1.85
TAMOXIFEN,ANASTROZOLE,SF295,DB00675,DB01217,2.84
IXABEPILONE,ARSENIC TRIOXIDE,HS578T,DB04845,DB01169,0.48
NILOTINIB,THALIDOMIDE,U251MG,DB04868,DB01041,2.83
IMIQUIMOD,TOPOTECAN,KM12,DB00724,DB01030,-5.58
CARMUSTINE,ARSENIC TRIOXIDE,SKMEL28,DB00262,DB01169,1.66
HYDROXYUREA,ARSENIC TRIOXIDE,OVCAR4,DB01005,DB01169,0.3
SORAFENIB,MITOTANE,HT29,DB00398,DB00648,5.58
CYTARABINE,METHOXSALEN,LOXIMVI,DB00987,DB00553,0.82
LAPATINIB,BORTEZOMIB,OVCAR8,DB01259,DB00188,1.7
AZACYTIDINE,IMIQUIMOD,T47D,DB00928,DB00724,-3.44
LAPATINIB,IXABEPILONE,MOLT4,DB01259,DB04845,11.96
IMATINIB,HYDROXYUREA,T47D,DB00619,DB01005,3.51
RALOXIFENE,CRIZOTINIB,OVCAR4,DB00481,DB08865,-0.12
DOCETAXEL,ERLOTINIB,HT29,DB01248,DB00530,9.06
METHOTREXATE,AMIFOSTINE,MOLT4,DB00563,DB01143,12.09
PACLITAXEL,AZACYTIDINE,A549,DB01229,DB00928,-3.31
MITOTANE,METHOTREXATE,U251MG,DB00648,DB00563,0.48
NILOTINIB,PRALATREXATE,RPMI8226,DB04868,DB06813,1.13
HYDROXYUREA,MITOTANE,BT549,DB01005,DB00648,14.36
ZOLEDRONIC ACID,IMIQUIMOD,KM12,DB00399,DB00724,3.65
SORAFENIB,PRALATREXATE,RPMI8226,DB00398,DB06813,-3.77
FLUDARABINE BASE,FULVESTRANT,HCT116,DB01073,DB00947,-4.13
LETROZOLE,PACLITAXEL,SKOV3,DB01006,DB01229,-3.58
DOCETAXEL,SUNITINIB,SKOV3,DB01248,DB01268,-0.6
METHOXSALEN,CARMUSTINE,IGROV1,DB00553,DB00262,-2.83
SUNITINIB,ANASTROZOLE,786O,DB01268,DB01217,0.93
CELECOXIB,ANASTROZOLE,HCT15,DB00482,DB01217,14.09
TRETINOIN,MITOTANE,T47D,DB00755,DB00648,0.79
DASATINIB,QUINACRINE HYDROCHLORIDE,KM12,DB01254,DB01103,-3.89
MITOTANE,NILOTINIB,DU145,DB00648,DB04868,-2.99
LETROZOLE,CARMUSTINE,HCT116,DB01006,DB00262,-2.45
AZACYTIDINE,BORTEZOMIB,OVCAR4,DB00928,DB00188,-4.36
HYDROXYUREA,BLEOMYCIN,U251MG,DB01005,DB00290,-4.79
PRALATREXATE,TOPOTECAN,786O,DB06813,DB01030,0.71
ZOLEDRONIC ACID,ERLOTINIB,RPMI8226,DB00399,DB00530,5.58
QUINACRINE HYDROCHLORIDE,THALIDOMIDE,COLO205,DB01103,DB01041,1.34
CYTARABINE,TRETINOIN,NCIH522,DB00987,DB00755,-0.25
HYDROXYUREA,IMIQUIMOD,MALME3M,DB01005,DB00724,1.72
TRETINOIN,THALIDOMIDE,OVCAR8,DB00755,DB01041,0.09
MERCAPTOPURINE,ARSENIC TRIOXIDE,HCT116,DB01033,DB01169,4.21
SORAFENIB,ZOLEDRONIC ACID,ACHN,DB00398,DB00399,-9.5
AZACYTIDINE,SORAFENIB,MALME3M,DB00928,DB00398,-2.43
MITOTANE,ZOLEDRONIC ACID,SF295,DB00648,DB00399,0.97
RALOXIFENE,TENIPOSIDE,LOXIMVI,DB00481,DB00444,0.72
PRALATREXATE,IXABEPILONE,SNB19,DB06813,DB04845,2.15
PACLITAXEL,IXABEPILONE,NCIH23,DB01229,DB04845,2.05
CYTARABINE,MERCAPTOPURINE,NCIH226,DB00987,DB01033,-6.31
THALIDOMIDE,BORTEZOMIB,COLO205,DB01041,DB00188,-8.2
CYTARABINE,METHOXSALEN,SKMEL5,DB00987,DB00553,-2.53
LETROZOLE,BORTEZOMIB,UACC257,DB01006,DB00188,1.28
ALLOPURINOL,TOPOTECAN,SKOV3,DB00437,DB01030,-4.42
CARMUSTINE,BORTEZOMIB,T47D,DB00262,DB00188,-3.67
ANASTROZOLE,ALLOPURINOL,A498,DB01217,DB00437,-0.96
LAPATINIB,METHOXSALEN,OVCAR4,DB01259,DB00553,0.96
MITOTANE,ARSENIC TRIOXIDE,SKOV3,DB00648,DB01169,-0.44
AMIFOSTINE,BORTEZOMIB,SW620,DB01143,DB00188,1.46
HYDROXYUREA,ANASTROZOLE,HCT116,DB01005,DB01217,7.37
IMATINIB,PRALATREXATE,DU145,DB00619,DB06813,2.6
HYDROXYUREA,IMIQUIMOD,UACC257,DB01005,DB00724,2.26
RALOXIFENE,METHOXSALEN,LOXIMVI,DB00481,DB00553,-1.16
CELECOXIB,SUNITINIB,786O,DB00482,DB01268,-3.94
AZACYTIDINE,SUNITINIB,HCT116,DB00928,DB01268,-5.94
HYDROXYUREA,AMIFOSTINE,NCIH23,DB01005,DB01143,3.01
DAUNORUBICIN,DASATINIB,A498,DB00694,DB01254,-2.8
IMATINIB,AMIFOSTINE,NCIH522,DB00619,DB01143,-0.5
TRETINOIN,IMIQUIMOD,T47D,DB00755,DB00724,-4.65
NILOTINIB,IMIQUIMOD,DU145,DB04868,DB00724,4.62
RALOXIFENE,VEMURAFENIB,HCT15,DB00481,DB08881,4.15
SUNITINIB,ALLOPURINOL,UACC257,DB01268,DB00437,-1.31
IXABEPILONE,ERLOTINIB,SF295,DB04845,DB00530,34.79
ANASTROZOLE,NILOTINIB,OVCAR4,DB01217,DB04868,4.67
TAMOXIFEN,BORTEZOMIB,U251MG,DB00675,DB00188,6.4
IMATINIB,QUINACRINE HYDROCHLORIDE,DU145,DB00619,DB01103,0.34
RALOXIFENE,MITOTANE,A498,DB00481,DB00648,-3.82
METHOTREXATE,TOPOTECAN,UACC257,DB00563,DB01030,-6.55
SORAFENIB,CARMUSTINE,T47D,DB00398,DB00262,-1.1
PACLITAXEL,SUNITINIB,BT549,DB01229,DB01268,-0.19
ANASTROZOLE,NILOTINIB,MCF7,DB01217,DB04868,0.52
DASATINIB,MITOTANE,A549,DB01254,DB00648,-2.45
ALLOPURINOL,AMIFOSTINE,OVCAR4,DB00437,DB01143,1.58
MITOTANE,IMIQUIMOD,MOLT4,DB00648,DB00724,3.66
TAMOXIFEN,SORAFENIB,SKMEL28,DB00675,DB00398,-3.54
HYDROXYUREA,AMIFOSTINE,DU145,DB01005,DB01143,0.61
BLEOMYCIN,MITOTANE,PC3,DB00290,DB00648,14.91
AZACYTIDINE,IMIQUIMOD,HCT116,DB00928,DB00724,3.21
QUINACRINE HYDROCHLORIDE,ARSENIC TRIOXIDE,U251MG,DB01103,DB01169,4.06
PACLITAXEL,THALIDOMIDE,UACC257,DB01229,DB01041,-6.79
ANASTROZOLE,IXABEPILONE,SKMEL2,DB01217,DB04845,4.01
MITOTANE,THALIDOMIDE,RPMI8226,DB00648,DB01041,6.4
CELECOXIB,ALLOPURINOL,SW620,DB00482,DB00437,10.33
RALOXIFENE,TAMOXIFEN,NCIH23,DB00481,DB00675,0.02
ZOLEDRONIC ACID,ERLOTINIB,HCT116,DB00399,DB00530,3.92
FLUDARABINE BASE,AMIFOSTINE,U251MG,DB01073,DB01143,5.69
TAMOXIFEN,METHOXSALEN,K562,DB00675,DB00553,-3.62
TRETINOIN,CARMUSTINE,MOLT4,DB00755,DB00262,7.01
FLUDARABINE BASE,MERCAPTOPURINE,A549,DB01073,DB01033,-6.36
DASATINIB,MITOTANE,RPMI8226,DB01254,DB00648,8.09
LAPATINIB,ZOLEDRONIC ACID,SF295,DB01259,DB00399,1.01
ANASTROZOLE,ARSENIC TRIOXIDE,DU145,DB01217,DB01169,1.74
RALOXIFENE,VANDETANIB,HS578T,DB00481,DB05294,9.17
DASATINIB,ALLOPURINOL,MALME3M,DB01254,DB00437,-5.63
PEMETREXED,AMIFOSTINE,UACC62,DB00642,DB01143,-2.79
CYTARABINE,DASATINIB,SNB19,DB00987,DB01254,-0.18
THALIDOMIDE,ARSENIC TRIOXIDE,SKMEL5,DB01041,DB01169,-0.73
SORAFENIB,ALLOPURINOL,SKOV3,DB00398,DB00437,3.27
METHOXSALEN,BORTEZOMIB,HCT15,DB00553,DB00188,-2.85
FULVESTRANT,METHOXSALEN,SW620,DB00947,DB00553,5.39
DASATINIB,THALIDOMIDE,OVCAR4,DB01254,DB01041,-1.52
RALOXIFENE,HYDROXYUREA,OVCAR8,DB00481,DB01005,-0.74
LETROZOLE,IXABEPILONE,NCIH460,DB01006,DB04845,1.28
RALOXIFENE,5-FU,COLO205,DB00481,DB00544,4.23
PRALATREXATE,AMIFOSTINE,HCT15,DB06813,DB01143,2.11
FLUDARABINE BASE,QUINACRINE HYDROCHLORIDE,IGROV1,DB01073,DB01103,0.5
TRETINOIN,IMATINIB,UACC62,DB00755,DB00619,1.87
SUNITINIB,MERCAPTOPURINE,OVCAR8,DB01268,DB01033,-6.71
DOCETAXEL,LAPATINIB,OVCAR8,DB01248,DB01259,7.75
NILOTINIB,METHOXSALEN,SKOV3,DB04868,DB00553,1.56
DEXRAZOXANE,BLEOMYCIN,NCIH522,DB00380,DB00290,-4.48
RALOXIFENE,ABIRATERONE,COLO205,DB00481,DB05812,5.76
AZACYTIDINE,BORTEZOMIB,HT29,DB00928,DB00188,-8.33
PRALATREXATE,METHOTREXATE,SKOV3,DB06813,DB00563,4.37
ANASTROZOLE,AMIFOSTINE,K562,DB01217,DB01143,10.6
MITOXANTRONE,METHOTREXATE,SKMEL28,DB01204,DB00563,2.5
LETROZOLE,MITOTANE,UACC257,DB01006,DB00648,-1.99
QUINACRINE HYDROCHLORIDE,METHOXSALEN,NCIH226,DB01103,DB00553,-2.42
CELECOXIB,CARMUSTINE,T47D,DB00482,DB00262,-0.24
FLUDARABINE BASE,CARMUSTINE,IGROV1,DB01073,DB00262,-0.84
THALIDOMIDE,METHOXSALEN,786O,DB01041,DB00553,6.74
RALOXIFENE,PRALATREXATE,SF295,DB00481,DB06813,-2.41
SUNITINIB,HYDROXYUREA,OVCAR4,DB01268,DB01005,0.5
LAPATINIB,CARMUSTINE,OVCAR8,DB01259,DB00262,-1.48
TRETINOIN,LAPATINIB,SKOV3,DB00755,DB01259,-5.02
THALIDOMIDE,TOPOTECAN,SKOV3,DB01041,DB01030,-8.2
ZOLEDRONIC ACID,QUINACRINE HYDROCHLORIDE,OVCAR4,DB00399,DB01103,-0.88
DASATINIB,ARSENIC TRIOXIDE,IGROV1,DB01254,DB01169,-5.8
TRETINOIN,FULVESTRANT,COLO205,DB00755,DB00947,-2.32
MERCAPTOPURINE,ARSENIC TRIOXIDE,MALME3M,DB01033,DB01169,-1.11
METHOTREXATE,ARSENIC TRIOXIDE,IGROV1,DB00563,DB01169,2.37
CYTARABINE,AZACYTIDINE,A549,DB00987,DB00928,-0.92
PEMETREXED,METHOTREXATE,MCF7,DB00642,DB00563,-7.14
AZACYTIDINE,ANASTROZOLE,ACHN,DB00928,DB01217,-3.62
CYTARABINE,SUNITINIB,UACC62,DB00987,DB01268,-6.15
CELECOXIB,ANASTROZOLE,SW620,DB00482,DB01217,5.1
METHOTREXATE,TRETINOIN,A549,DB00563,DB00755,-2.22
FULVESTRANT,QUINACRINE HYDROCHLORIDE,HCT116,DB00947,DB01103,-3.85
SUNITINIB,ANASTROZOLE,NCIH226,DB01268,DB01217,-2.42
BLEOMYCIN,TOPOTECAN,HS578T,DB00290,DB01030,-5.41
AZACYTIDINE,IXABEPILONE,786O,DB00928,DB04845,-3.17
RALOXIFENE,GEFITINIB,NCIH226,DB00481,DB00317,-3.52
DASATINIB,ERLOTINIB,LOXIMVI,DB01254,DB00530,-0.09
MEGESTROL ACETATE,METHOTREXATE,NCIH522,DB00351,DB00563,0.3
IMATINIB,CARMUSTINE,HS578T,DB00619,DB00262,-8.6
METHOTREXATE,ALLOPURINOL,SW620,DB00563,DB00437,3.83
CYTARABINE,ALLOPURINOL,OVCAR4,DB00987,DB00437,-3.04
TAMOXIFEN,SORAFENIB,ACHN,DB00675,DB00398,7.9
LAPATINIB,METHOXSALEN,T47D,DB01259,DB00553,-1.83
LAPATINIB,QUINACRINE HYDROCHLORIDE,NCIH226,DB01259,DB01103,-3.44
IMATINIB,MERCAPTOPURINE,KM12,DB00619,DB01033,-4.14
ANASTROZOLE,AZACYTIDINE,786O,DB01217,DB00928,-4.86
MERCAPTOPURINE,ALLOPURINOL,UACC62,DB01033,DB00437,0.68
CYTARABINE,THALIDOMIDE,786O,DB00987,DB01041,-3.62
DOCETAXEL,MITOTANE,NCIH522,DB01248,DB00648,4.83
SORAFENIB,IMIQUIMOD,SKMEL28,DB00398,DB00724,1.73
CYTARABINE,QUINACRINE HYDROCHLORIDE,COLO205,DB00987,DB01103,0.97
DASATINIB,ALLOPURINOL,SKMEL28,DB01254,DB00437,-1
LETROZOLE,PRALATREXATE,A498,DB01006,DB06813,4.51
SORAFENIB,BORTEZOMIB,A498,DB00398,DB00188,-0.48
LAPATINIB,BLEOMYCIN,PC3,DB01259,DB00290,-2.27
TRETINOIN,AZACYTIDINE,NCIH23,DB00755,DB00928,-5.01
TAMOXIFEN,ZOLEDRONIC ACID,SKMEL28,DB00675,DB00399,2.27
BLEOMYCIN,CARMUSTINE,K562,DB00290,DB00262,3.07
PEMETREXED,BLEOMYCIN,UACC257,DB00642,DB00290,0.71
RALOXIFENE,TOPOTECAN,HS578T,DB00481,DB01030,0.46
MERCAPTOPURINE,NILOTINIB,PC3,DB01033,DB04868,0.44
DOCETAXEL,AZACYTIDINE,NCIH23,DB01248,DB00928,-4.82
CYTARABINE,TOPOTECAN,SKMEL28,DB00987,DB01030,-14.09
FULVESTRANT,ALLOPURINOL,DU145,DB00947,DB00437,0.45
NILOTINIB,ANASTROZOLE,OVCAR4,DB04868,DB01217,2.49
NILOTINIB,DOCETAXEL,HCT116,DB04868,DB01248,26.68
ZOLEDRONIC ACID,ARSENIC TRIOXIDE,SNB19,DB00399,DB01169,1.72
AZACYTIDINE,LAPATINIB,A549,DB00928,DB01259,-3.91
MERCAPTOPURINE,ARSENIC TRIOXIDE,OVCAR4,DB01033,DB01169,-1.13
DOCETAXEL,TOPOTECAN,COLO205,DB01248,DB01030,-10.95
IMIQUIMOD,ERLOTINIB,HCT116,DB00724,DB00530,0.27
